id,name,country,proposed_type,confidence,evidence,source,wikipedia_url
970,Estadio José Rico Pérez,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Jos%C3%A9_Rico_P%C3%A9rez
971,Can Misses,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadi_Municipal_de_Can_Misses
974,Estadio Enrique Roca,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadio_Nueva_Condomina
975,Nova Creu Alta,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Estadi_de_la_Nova_Creu_Alta
976,Estadio Jesús Navas,Spain,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Ciudad_Deportiva_Jos%C3%A9_Ram%C3%B3n_Cisneros_Palacios
980,Yerevan Football Academy Stadium,Armenia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Yerevan_Football_Academy_Stadium
981,Gandzasar Stadium,Armenia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Kapan_Stadium
982,Abovyan City Stadium,Armenia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Vahagn_Tumasyan_Stadium
983,Gyumri City Stadium,Armenia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Gyumri_City_Stadium
984,Urartu Stadium,Armenia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Urartu_Stadium
985,Charentsavan City Stadium,Armenia,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Charentsavan_City_Stadium
986,Suva Reka City Stadium,Kosovo,OPEN,low(default),,default,https://en.wikipedia.org/wiki/FC_Ballkani
987,Bajram Aliu Stadium,Kosovo,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Bajram_Aliu_Stadium
988,Gjilan City Stadium,Kosovo,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Gjilan_City_Stadium
991,Zahir Pajaziti Stadium,Kosovo,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Zahir_Pajaziti_Stadium
993,Fadil Vokrri Stadium,Kosovo,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Fadil_Vokrri_Stadium
995,Teddy Stadium,Israel,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Teddy_Stadium
996,Doha Stadium,Israel,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Doha_Stadium
997,Yud-Alef Stadium,Israel,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Yud-Alef_Stadium
998,Turner Stadium,Israel,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Turner_Stadium
999,Sammy Ofer Stadium,Israel,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Sammy_Ofer_Stadium
1000,HaMoshava Stadium,Israel,OPEN,low(default),,default,https://en.wikipedia.org/wiki/HaMoshava_Stadium
1001,Bloomfield Stadium,Israel,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Bloomfield_Stadium
1002,Netanya Stadium,Israel,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Netanya_Stadium
1003,Green Stadium,Israel,OPEN,low(default),,default,"https://en.wikipedia.org/wiki/Green_Stadium,_Nof_HaGalil"
1004,Netanya Stadium,Israel,OPEN,low(default),,default,https://en.wikipedia.org/wiki/Netanya_Stadium
